SCORE:BAR,CH,2270,4030,-176.0
SCORE:BAR,DB,3860,2430,143.0
SCORE:BAR,FCY,2330,3960,-163.0
SCORE:BAR,HC15,1540,4760,-322.0
SCORE:BAR,HHCC,3240,3060,18.0
SCORE:BAR,LAND,3980,2320,166.0
SCORE:BAR,LL,3120,3180,-6.0
SCORE:BAR,PVYA,3650,2650,100.0
SCORE:BAR,RMR,3520,2780,74.0
SCORE:BAR,RSST,2280,4020,-174.0
SCORE:BAR,SR-MD,3200,3100,10.0
SCORE:BAR,TR,5930,170,576.0
SCORE:BAR,VOU,3550,2740,81.0
SCORE:BAR,VOUBC,3800,2500,130.0
SCORE:BAR,WKW,2400,3900,-150.0
SCORE:BAR,WRST,4660,1640,302.0
SCORE:CH,BAR,4060,2240,182.0
SCORE:CH,DB,4370,1920,245.0
SCORE:CH,FCY,3590,2700,89.0
SCORE:CH,HC15,2290,4010,-172.0
SCORE:CH,HHCC,3580,2720,86.0
SCORE:CH,LAND,4430,1870,256.0
SCORE:CH,LL,3940,2360,158.0
SCORE:CH,PVYA,4060,2240,182.0
SCORE:CH,RMR,4210,2090,212.0
SCORE:CH,RSST,3440,2850,59.0
SCORE:CH,SR-MD,3780,2520,126.0
SCORE:CH,TR,5910,170,574.0
SCORE:CH,VOU,4070,2220,185.0
SCORE:CH,VOUBC,4040,2250,179.0
SCORE:CH,WKW,2710,3590,-88.0
SCORE:CH,WRST,4740,1560,318.0
SCORE:DB,BAR,2430,3860,-143.0
SCORE:DB,CH,1950,4340,-239.0
SCORE:DB,FCY,2260,4030,-177.0
SCORE:DB,HC15,1320,4920,-360.0
SCORE:DB,HHCC,2370,3640,-127.0
SCORE:DB,LAND,3120,2840,28.0
SCORE:DB,LL,2400,3870,-147.0
SCORE:DB,PVYA,2930,3310,-38.0
SCORE:DB,RMR,2990,3200,-21.0
SCORE:DB,RSST,1880,4330,-245.0
SCORE:DB,SR-MD,2430,3720,-129.0
SCORE:DB,TR,4940,550,439.0
SCORE:DB,VOU,3250,3020,23.0
SCORE:DB,VOUBC,3330,2640,69.0
SCORE:DB,WKW,1450,4780,-333.0
SCORE:DB,WRST,3590,2620,97.0
SCORE:FCY,BAR,3960,2330,163.0
SCORE:FCY,CH,2700,3590,-89.0
SCORE:FCY,DB,4030,2260,177.0
SCORE:FCY,HC15,2040,4260,-222.0
SCORE:FCY,HHCC,3480,2780,70.0
SCORE:FCY,LAND,4010,2250,176.0
SCORE:FCY,LL,3560,2720,84.0
SCORE:FCY,PVYA,3770,2430,134.0
SCORE:FCY,RMR,4130,2110,202.0
SCORE:FCY,RSST,2970,3280,-31.0
SCORE:FCY,SR-MD,3870,2420,145.0
SCORE:FCY,TR,5630,260,537.0
SCORE:FCY,VOU,3890,2310,158.0
SCORE:FCY,VOUBC,4050,2240,181.0
SCORE:FCY,WKW,2700,3600,-90.0
SCORE:FCY,WRST,4710,1550,316.0
SCORE:HC15,BAR,4760,1540,322.0
SCORE:HC15,CH,4010,2290,172.0
SCORE:HC15,DB,4920,1320,360.0
SCORE:HC15,FCY,4260,2040,222.0
SCORE:HC15,HHCC,4520,1780,274.0
SCORE:HC15,LAND,4870,1420,345.0
SCORE:HC15,LL,4600,1690,291.0
SCORE:HC15,PVYA,4620,1670,295.0
SCORE:HC15,RMR,4770,1530,324.0
SCORE:HC15,RSST,4560,1740,282.0
SCORE:HC15,SR-MD,4620,1680,294.0
SCORE:HC15,TR,5710,170,554.0
SCORE:HC15,VOU,4570,1730,284.0
SCORE:HC15,VOUBC,4710,1580,313.0
SCORE:HC15,WKW,3750,2550,120.0
SCORE:HC15,WRST,5190,1100,409.0
SCORE:HHCC,BAR,3060,3240,-18.0
SCORE:HHCC,CH,2720,3580,-86.0
SCORE:HHCC,DB,3640,2370,127.0
SCORE:HHCC,FCY,2780,3480,-70.0
SCORE:HHCC,HC15,1780,4520,-274.0
SCORE:HHCC,LAND,3580,2470,111.0
SCORE:HHCC,LL,3360,2920,44.0
SCORE:HHCC,PVYA,3660,2550,111.0
SCORE:HHCC,RMR,3760,2520,124.0
SCORE:HHCC,RSST,2610,3630,-102.0
SCORE:HHCC,SR-MD,3100,3110,-1.0
SCORE:HHCC,TR,4920,590,433.0
SCORE:HHCC,VOU,3500,2760,74.0
SCORE:HHCC,VOUBC,3600,2310,129.0
SCORE:HHCC,WKW,2540,3730,-119.0
SCORE:HHCC,WRST,4020,2180,184.0
SCORE:LAND,BAR,2320,3980,-166.0
SCORE:LAND,CH,1900,4400,-250.0
SCORE:LAND,DB,2840,3120,-28.0
SCORE:LAND,FCY,2250,4010,-176.0
SCORE:LAND,HC15,1420,4870,-345.0
SCORE:LAND,HHCC,2470,3580,-111.0
SCORE:LAND,LL,2610,3600,-99.0
SCORE:LAND,PVYA,2590,3600,-101.0
SCORE:LAND,RMR,2690,3590,-90.0
SCORE:LAND,RSST,1800,4480,-268.0
SCORE:LAND,SR-MD,2410,3800,-139.0
SCORE:LAND,TR,4860,610,425.0
SCORE:LAND,VOU,2880,3370,-49.0
SCORE:LAND,VOUBC,3040,2830,21.0
SCORE:LAND,WKW,1680,4500,-282.0
SCORE:LAND,WRST,3310,2890,42.0
SCORE:LL,BAR,3180,3120,6.0
SCORE:LL,CH,2360,3940,-158.0
SCORE:LL,DB,3870,2400,147.0
SCORE:LL,FCY,2720,3560,-84.0
SCORE:LL,HC15,1730,4560,-283.0
SCORE:LL,HHCC,2920,3360,-44.0
SCORE:LL,LAND,3600,2610,99.0
SCORE:LL,PVYA,3400,2850,55.0
SCORE:LL,RMR,3470,2810,66.0
SCORE:LL,RSST,2640,3610,-97.0
SCORE:LL,SR-MD,2960,3340,-38.0
SCORE:LL,TR,5560,300,526.0
SCORE:LL,VOU,3840,2440,140.0
SCORE:LL,VOUBC,3870,2380,149.0
SCORE:LL,WKW,2370,3930,-156.0
SCORE:LL,WRST,4390,1850,254.0
SCORE:PVYA,BAR,2650,3650,-100.0
SCORE:PVYA,CH,2240,4060,-182.0
SCORE:PVYA,DB,3310,2930,38.0
SCORE:PVYA,FCY,2430,3770,-134.0
SCORE:PVYA,HC15,1670,4620,-295.0
SCORE:PVYA,HHCC,2550,3660,-111.0
SCORE:PVYA,LAND,3600,2590,101.0
SCORE:PVYA,LL,2850,3400,-55.0
SCORE:PVYA,RMR,3110,3180,-7.0
SCORE:PVYA,RSST,2150,4100,-195.0
SCORE:PVYA,SR-MD,3020,3270,-25.0
SCORE:PVYA,TR,5430,360,507.0
SCORE:PVYA,VOU,3100,3110,-1.0
SCORE:PVYA,VOUBC,3440,2820,62.0
SCORE:PVYA,WKW,1710,4580,-287.0
SCORE:PVYA,WRST,3690,2570,112.0
SCORE:RMR,BAR,2780,3520,-74.0
SCORE:RMR,CH,2090,4210,-212.0
SCORE:RMR,DB,3250,2940,31.0
SCORE:RMR,FCY,2110,4130,-202.0
SCORE:RMR,HC15,1530,4770,-324.0
SCORE:RMR,HHCC,2520,3760,-124.0
SCORE:RMR,LAND,3590,2690,90.0
SCORE:RMR,LL,2810,3470,-66.0
SCORE:RMR,PVYA,3230,3060,17.0
SCORE:RMR,RSST,2440,3850,-141.0
SCORE:RMR,SR-MD,2960,3330,-37.0
SCORE:RMR,TR,5550,360,519.0
SCORE:RMR,VOU,3280,2970,31.0
SCORE:RMR,VOUBC,3370,2930,44.0
SCORE:RMR,WKW,1910,4380,-247.0
SCORE:RMR,WRST,4100,2190,191.0
SCORE:RSST,BAR,4020,2280,174.0
SCORE:RSST,CH,2860,3430,-57.0
SCORE:RSST,DB,4330,1880,245.0
SCORE:RSST,FCY,3280,2970,31.0
SCORE:RSST,HC15,1740,4560,-282.0
SCORE:RSST,HHCC,3630,2610,102.0
SCORE:RSST,LAND,4510,1770,274.0
SCORE:RSST,LL,3670,2580,109.0
SCORE:RSST,PVYA,4100,2150,195.0
SCORE:RSST,RMR,3850,2440,141.0
SCORE:RSST,SR-MD,3840,2450,139.0
SCORE:RSST,TR,5760,90,567.0
SCORE:RSST,VOU,3900,2260,164.0
SCORE:RSST,VOUBC,4150,2080,207.0
SCORE:RSST,WKW,2540,3750,-121.0
SCORE:RSST,WRST,5030,1220,381.0
SCORE:SR-MD,BAR,3110,3190,-8.0
SCORE:SR-MD,CH,2520,3780,-126.0
SCORE:SR-MD,DB,3720,2430,129.0
SCORE:SR-MD,FCY,2480,3810,-133.0
SCORE:SR-MD,HC15,1680,4620,-294.0
SCORE:SR-MD,HHCC,3110,3100,1.0
SCORE:SR-MD,LAND,3800,2410,139.0
SCORE:SR-MD,LL,3340,2960,38.0
SCORE:SR-MD,PVYA,3270,3020,25.0
SCORE:SR-MD,RMR,3330,2960,37.0
SCORE:SR-MD,RSST,2450,3840,-139.0
SCORE:SR-MD,TR,5610,320,529.0
SCORE:SR-MD,VOU,3310,2990,32.0
SCORE:SR-MD,VOUBC,3480,2630,85.0
SCORE:SR-MD,WKW,1970,4320,-235.0
SCORE:SR-MD,WRST,4520,1730,279.0
SCORE:TR,BAR,170,5930,-576.0
SCORE:TR,CH,170,5910,-574.0
SCORE:TR,DB,550,4940,-439.0
SCORE:TR,FCY,260,5630,-537.0
SCORE:TR,HC15,170,5710,-554.0
SCORE:TR,HHCC,590,4920,-433.0
SCORE:TR,LAND,610,4860,-425.0
SCORE:TR,LL,300,5560,-526.0
SCORE:TR,PVYA,360,5430,-507.0
SCORE:TR,RMR,360,5550,-519.0
SCORE:TR,RSST,90,5760,-567.0
SCORE:TR,SR-MD,320,5610,-529.0
SCORE:TR,VOU,430,5460,-503.0
SCORE:TR,VOUBC,750,4430,-368.0
SCORE:TR,WKW,190,5760,-557.0
SCORE:TR,WRST,570,5210,-464.0
SCORE:VOU,BAR,2740,3550,-81.0
SCORE:VOU,CH,2220,4070,-185.0
SCORE:VOU,DB,3020,3250,-23.0
SCORE:VOU,FCY,2310,3890,-158.0
SCORE:VOU,HC15,1730,4570,-284.0
SCORE:VOU,HHCC,2760,3500,-74.0
SCORE:VOU,LAND,3370,2880,49.0
SCORE:VOU,LL,2440,3840,-140.0
SCORE:VOU,PVYA,3110,3100,1.0
SCORE:VOU,RMR,3000,3250,-25.0
SCORE:VOU,RSST,2260,3900,-164.0
SCORE:VOU,SR-MD,2990,3310,-32.0
SCORE:VOU,TR,5460,430,503.0
SCORE:VOU,VOUBC,3570,2700,87.0
SCORE:VOU,WKW,1900,4400,-250.0
SCORE:VOU,WRST,3640,2620,102.0
SCORE:VOUBC,BAR,2500,3800,-130.0
SCORE:VOUBC,CH,2250,4040,-179.0
SCORE:VOUBC,DB,2640,3330,-69.0
SCORE:VOUBC,FCY,2240,4050,-181.0
SCORE:VOUBC,HC15,1580,4710,-313.0
SCORE:VOUBC,HHCC,2320,3590,-127.0
SCORE:VOUBC,LAND,2830,3040,-21.0
SCORE:VOUBC,LL,2380,3870,-149.0
SCORE:VOUBC,PVYA,2820,3440,-62.0
SCORE:VOUBC,RMR,2930,3370,-44.0
SCORE:VOUBC,RSST,2080,4150,-207.0
SCORE:VOUBC,SR-MD,2680,3430,-75.0
SCORE:VOUBC,TR,4430,750,368.0
SCORE:VOUBC,VOU,2700,3570,-87.0
SCORE:VOUBC,WKW,1800,4320,-252.0
SCORE:VOUBC,WRST,3110,3090,2.0
SCORE:WKW,BAR,3900,2400,150.0
SCORE:WKW,CH,3640,2660,98.0
SCORE:WKW,DB,4780,1450,333.0
SCORE:WKW,FCY,3600,2700,90.0
SCORE:WKW,HC15,2550,3750,-120.0
SCORE:WKW,HHCC,3740,2530,121.0
SCORE:WKW,LAND,4500,1680,282.0
SCORE:WKW,LL,3930,2370,156.0
SCORE:WKW,PVYA,4580,1710,287.0
SCORE:WKW,RMR,4380,1910,247.0
SCORE:WKW,RSST,3750,2540,121.0
SCORE:WKW,SR-MD,4320,1970,235.0
SCORE:WKW,TR,5760,190,557.0
SCORE:WKW,VOU,4400,1900,250.0
SCORE:WKW,VOUBC,4320,1800,252.0
SCORE:WKW,WRST,4940,1310,363.0
SCORE:WRST,BAR,1720,4580,-286.0
SCORE:WRST,CH,1560,4740,-318.0
SCORE:WRST,DB,2650,3560,-91.0
SCORE:WRST,FCY,1560,4700,-314.0
SCORE:WRST,HC15,1100,5190,-409.0
SCORE:WRST,HHCC,2180,4020,-184.0
SCORE:WRST,LAND,2890,3310,-42.0
SCORE:WRST,LL,1850,4390,-254.0
SCORE:WRST,PVYA,2570,3690,-112.0
SCORE:WRST,RMR,2190,4100,-191.0
SCORE:WRST,RSST,1220,5030,-381.0
SCORE:WRST,SR-MD,1730,4520,-279.0
SCORE:WRST,TR,5210,570,464.0
SCORE:WRST,VOU,2620,3640,-102.0
SCORE:WRST,VOUBC,3090,3110,-2.0
SCORE:WRST,WKW,1310,4940,-363.0
SCORE:BAR,WKW,2270,4030,-176.0
